#;Date and time;Second;Microsecond
287;2023-04-15 22:15:36.825686;36;825686
288;2023-04-15 22:15:36.836685;36;836685
289;2023-04-15 22:15:36.847686;36;847686
290;2023-04-15 22:15:36.858206;36;858206
291;2023-04-15 22:15:36.868718;36;868718
292;2023-04-15 22:15:36.879710;36;879710
293;2023-04-15 22:15:36.890710;36;890710
294;2023-04-15 22:15:36.901710;36;901710
295;2023-04-15 22:15:36.912711;36;912711
296;2023-04-15 22:15:36.923710;36;923710
297;2023-04-15 22:15:36.934710;36;934710
298;2023-04-15 22:15:36.945710;36;945710
299;2023-04-15 22:15:36.956710;36;956710
300;2023-04-15 22:15:36.967710;36;967710
